region,instance_type
ap-south-1,m7gd.2xlarge
ap-south-1,m7gd.metal
ap-south-1,r3.xlarge
ap-south-1,r5n.xlarge
ap-south-1,a1.4xlarge
ap-south-1,c5d.12xlarge
ap-south-1,c6in.large
ap-south-1,m6idn.xlarge
ap-south-1,trn1.32xlarge
ap-south-1,t2.medium
ap-south-1,m7i-flex.16xlarge
ap-south-1,t4g.medium
ap-south-1,c6a.8xlarge
ap-south-1,d2.xlarge
ap-south-1,g6.xlarge
ap-south-1,r5d.8xlarge
ap-south-1,z1d.12xlarge
ap-south-1,c7i.48xlarge
ap-south-1,u-6tb1.56xlarge
ap-south-1,m6gd.xlarge
ap-south-1,i3.2xlarge
ap-south-1,m6id.8xlarge
ap-south-1,m6in.32xlarge
ap-south-1,r6id.4xlarge
ap-south-1,c5a.16xlarge
ap-south-1,c5.9xlarge
ap-south-1,c6g.large
ap-south-1,i4i.8xlarge
ap-south-1,m5ad.2xlarge
ap-south-1,r5ad.16xlarge
ap-south-1,r4.4xlarge
ap-south-1,r6i.large
ap-south-1,r8g.16xlarge
ap-south-1,g5.48xlarge
ap-south-1,r8g.xlarge
ap-south-1,m5.large
ap-south-1,i3.metal
ap-south-1,i3en.3xlarge
ap-south-1,m6id.xlarge
ap-south-1,d3.xlarge
ap-south-1,r5a.16xlarge
ap-south-1,r5.metal
ap-south-1,i4i.large
ap-south-1,i3en.xlarge
ap-south-1,c6i.8xlarge
ap-south-1,t3a.small
ap-south-1,r7gd.12xlarge
ap-south-1,r4.2xlarge
ap-south-1,m6i.xlarge
ap-south-1,m7i-flex.large
ap-south-1,m6i.32xlarge
ap-south-1,r6gd.8xlarge
ap-south-1,r6id.32xlarge
ap-south-1,t3a.medium
ap-south-1,is4gen.8xlarge
ap-south-1,z1d.3xlarge
ap-south-1,d2.8xlarge
ap-south-1,m7i.metal-48xl
ap-south-1,r7i.12xlarge
ap-south-1,c6gd.2xlarge
ap-south-1,r7gd.2xlarge
ap-south-1,r5d.24xlarge
ap-south-1,m7i-flex.12xlarge
ap-south-1,inf1.2xlarge
ap-south-1,g4dn.8xlarge
ap-south-1,p2.8xlarge
ap-south-1,is4gen.medium
ap-south-1,r7g.4xlarge
ap-south-1,i3en.large
ap-south-1,c6i.16xlarge
ap-south-1,m6g.2xlarge
ap-south-1,m7i.4xlarge
ap-south-1,m6i.4xlarge
ap-south-1,c5d.xlarge
ap-south-1,m5d.8xlarge
ap-south-1,m7gd.12xlarge
ap-south-1,c7g.8xlarge
ap-south-1,m6a.12xlarge
ap-south-1,x2iedn.2xlarge
ap-south-1,t4g.2xlarge
ap-south-1,r6a.48xlarge
ap-south-1,m7g.metal
ap-south-1,c5.4xlarge
ap-south-1,c6a.24xlarge
ap-south-1,g4dn.2xlarge
ap-south-1,m6id.4xlarge
ap-south-1,t3.xlarge
ap-south-1,m7i-flex.4xlarge
ap-south-1,c6in.4xlarge
ap-south-1,m4.large
ap-south-1,g5.8xlarge
ap-south-1,inf2.xlarge
ap-south-1,m6gd.4xlarge
ap-south-1,m5d.metal
ap-south-1,c5n.9xlarge
ap-south-1,i3.xlarge
ap-south-1,r7g.16xlarge
ap-south-1,m6g.medium
ap-south-1,m6gd.metal
ap-south-1,m5.12xlarge
eu-north-1,r6i.24xlarge
eu-north-1,r5dn.4xlarge
eu-north-1,c6gn.2xlarge
eu-north-1,c5d.12xlarge
eu-north-1,m6g.4xlarge
eu-north-1,d2.4xlarge
eu-north-1,inf1.24xlarge
eu-north-1,r5n.4xlarge
eu-north-1,r6in.2xlarge
eu-north-1,r5.12xlarge
eu-north-1,r5d.8xlarge
eu-north-1,g6.2xlarge
eu-north-1,t3.nano
eu-north-1,m6i.large
eu-north-1,r5.2xlarge
eu-north-1,r8g.2xlarge
eu-north-1,r7gd.medium
eu-north-1,t3.2xlarge
eu-north-1,m6gd.8xlarge
eu-north-1,r7i.metal-48xl
eu-north-1,i3en.6xlarge
eu-north-1,i3en.24xlarge
eu-north-1,r7g.metal
eu-north-1,r6in.24xlarge
eu-north-1,m7i.large
eu-north-1,c8g.metal-48xl
eu-north-1,r7gd.4xlarge
eu-north-1,m7g.12xlarge
eu-north-1,m6i.12xlarge
eu-north-1,r8g.48xlarge
eu-north-1,r7g.xlarge
eu-north-1,i3.8xlarge
eu-north-1,c7i-flex.2xlarge
eu-north-1,r8g.xlarge
eu-north-1,t4g.small
eu-north-1,m6in.8xlarge
eu-north-1,g6e.8xlarge
eu-north-1,c8g.12xlarge
eu-north-1,r5d.metal
eu-north-1,i3.metal
eu-north-1,c8g.48xlarge
eu-north-1,r6g.12xlarge
eu-north-1,m6in.metal
eu-north-1,c8g.8xlarge
eu-north-1,i4i.large
eu-north-1,r6idn.large
eu-north-1,t4g.xlarge
eu-north-1,r7a.32xlarge
eu-north-1,c5d.18xlarge
eu-north-1,r5.24xlarge
eu-north-1,m5d.16xlarge
eu-north-1,m6in.4xlarge
eu-north-1,r5.4xlarge
eu-north-1,c7gd.12xlarge
eu-north-1,d2.8xlarge
eu-north-1,x2iedn.32xlarge
eu-north-1,c7a.medium
eu-north-1,c5d.metal
eu-north-1,r6in.12xlarge
eu-north-1,m7i.12xlarge
eu-north-1,g5.24xlarge
eu-north-1,c7i-flex.large
eu-north-1,g6e.16xlarge
eu-north-1,c7g.12xlarge
eu-north-1,g4dn.metal
eu-north-1,r7g.large
eu-north-1,c5a.4xlarge
eu-north-1,r5b.24xlarge
eu-north-1,c5a.xlarge
eu-north-1,c5d.9xlarge
eu-north-1,hpc7a.96xlarge
eu-north-1,x2iedn.8xlarge
eu-north-1,c6g.2xlarge
eu-north-1,i3en.12xlarge
eu-north-1,c7gd.8xlarge
eu-north-1,g6e.24xlarge
eu-north-1,m5d.8xlarge
eu-north-1,u-9tb1.112xlarge
eu-north-1,r5b.2xlarge
eu-north-1,m7a.12xlarge
eu-north-1,c7a.48xlarge
eu-north-1,m7a.32xlarge
eu-north-1,c6gd.metal
eu-north-1,r6gd.large
eu-north-1,r7a.xlarge
eu-north-1,m8g.2xlarge
eu-north-1,m7a.large
eu-north-1,r8g.medium
eu-north-1,m5d.4xlarge
eu-north-1,c8g.24xlarge
eu-north-1,c6in.4xlarge
eu-north-1,c5a.large
eu-north-1,c7a.12xlarge
eu-north-1,r5.8xlarge
eu-north-1,g4dn.12xlarge
eu-north-1,r6i.32xlarge
eu-north-1,r8g.12xlarge
eu-north-1,r5dn.16xlarge
eu-north-1,m6gd.16xlarge
eu-north-1,m7g.16xlarge
eu-west-3,r5n.xlarge
eu-west-3,c6in.large
eu-west-3,im4gn.large
eu-west-3,c7i-flex.16xlarge
eu-west-3,r6g.2xlarge
eu-west-3,c5.12xlarge
eu-west-3,r5.12xlarge
eu-west-3,r5dn.metal
eu-west-3,c6gn.4xlarge
eu-west-3,g4dn.4xlarge
eu-west-3,t2.small
eu-west-3,t3.nano
eu-west-3,i3.2xlarge
eu-west-3,m7g.2xlarge
eu-west-3,r5n.24xlarge
eu-west-3,hpc7a.48xlarge
eu-west-3,r7i.metal-48xl
eu-west-3,i3en.6xlarge
eu-west-3,r6i.16xlarge
eu-west-3,x2idn.16xlarge
eu-west-3,g6.24xlarge
eu-west-3,r6g.metal
eu-west-3,c6in.12xlarge
eu-west-3,c5n.large
eu-west-3,m6gd.2xlarge
eu-west-3,i4i.32xlarge
eu-west-3,t4g.nano
eu-west-3,m7i.16xlarge
eu-west-3,r6gd.4xlarge
eu-west-3,c7i.12xlarge
eu-west-3,c5a.8xlarge
eu-west-3,g4dn.xlarge
eu-west-3,r6g.8xlarge
eu-west-3,m5a.12xlarge
eu-west-3,c6i.32xlarge
eu-west-3,x2iedn.16xlarge
eu-west-3,i3en.xlarge
eu-west-3,inf1.xlarge
eu-west-3,r5.24xlarge
eu-west-3,c6i.24xlarge
eu-west-3,m7i-flex.large
eu-west-3,m6i.32xlarge
eu-west-3,r7i.4xlarge
eu-west-3,t3a.medium
eu-west-3,r6gd.metal
eu-west-3,d2.8xlarge
eu-west-3,m7i.metal-48xl
eu-west-3,x2iedn.32xlarge
eu-west-3,m7gd.16xlarge
eu-west-3,c7i-flex.large
eu-west-3,m6g.8xlarge
eu-west-3,m7i.24xlarge
eu-west-3,r5n.16xlarge
eu-west-3,inf1.2xlarge
eu-west-3,m7i-flex.12xlarge
eu-west-3,r6gd.16xlarge
eu-west-3,g4dn.metal
eu-west-3,t4g.large
eu-west-3,is4gen.large
eu-west-3,c7i.8xlarge
eu-west-3,c7i-flex.8xlarge
eu-west-3,r5dn.large
eu-west-3,c6g.metal
eu-west-3,c5a.24xlarge
eu-west-3,c6g.2xlarge
eu-west-3,i4i.16xlarge
eu-west-3,m6g.2xlarge
eu-west-3,m7gd.8xlarge
eu-west-3,c6gn.8xlarge
eu-west-3,t3a.large
eu-west-3,r7i.2xlarge
eu-west-3,m5d.8xlarge
eu-west-3,inf2.24xlarge
eu-west-3,r6i.4xlarge
eu-west-3,m5.metal
eu-west-3,m5d.2xlarge
eu-west-3,r6gd.12xlarge
eu-west-3,m7gd.4xlarge
eu-west-3,m5d.4xlarge
eu-west-3,r5ad.xlarge
eu-west-3,t3.xlarge
eu-west-3,gr6.4xlarge
eu-west-3,r5n.metal
eu-west-3,m6i.24xlarge
eu-west-3,inf2.xlarge
eu-west-3,im4gn.8xlarge
eu-west-3,r5ad.2xlarge
eu-west-3,m6g.xlarge
eu-west-3,m7g.xlarge
eu-west-3,t3a.micro
eu-west-3,m5d.metal
eu-west-3,m5ad.8xlarge
eu-west-3,m7g.large
eu-west-3,c5n.9xlarge
eu-west-3,i3.xlarge
eu-west-3,c5.24xlarge
eu-west-3,m6i.metal
eu-west-3,m7g.16xlarge
eu-west-3,m5.12xlarge
eu-west-3,gr6.8xlarge
eu-west-2,m5.24xlarge
eu-west-2,c6in.16xlarge
eu-west-2,c5d.12xlarge
eu-west-2,m5ad.16xlarge
eu-west-2,c5a.2xlarge
eu-west-2,m6a.2xlarge
eu-west-2,m6g.12xlarge
eu-west-2,c5.12xlarge
eu-west-2,c7i.xlarge
eu-west-2,t3a.nano
eu-west-2,m5.2xlarge
eu-west-2,c7i.4xlarge
eu-west-2,r5.12xlarge
eu-west-2,c6gn.4xlarge
eu-west-2,c6i.xlarge
eu-west-2,t2.small
eu-west-2,c7i.48xlarge
eu-west-2,g6.2xlarge
eu-west-2,t3.nano
eu-west-2,c6gd.4xlarge
eu-west-2,i3.2xlarge
eu-west-2,t3.2xlarge
eu-west-2,m6gd.medium
eu-west-2,m5a.16xlarge
eu-west-2,r5b.16xlarge
eu-west-2,r5n.24xlarge
eu-west-2,m5d.24xlarge
eu-west-2,r6g.16xlarge
eu-west-2,r6i.2xlarge
eu-west-2,m7i.metal-24xl
eu-west-2,c4.xlarge
eu-west-2,r7g.xlarge
eu-west-2,p5e.48xlarge
eu-west-2,r6id.xlarge
eu-west-2,r4.xlarge
eu-west-2,i3.metal
eu-west-2,c5a.8xlarge
eu-west-2,p3.2xlarge
eu-west-2,i4i.large
eu-west-2,m7i.48xlarge
eu-west-2,f2.6xlarge
eu-west-2,x2iedn.metal
eu-west-2,m5ad.24xlarge
eu-west-2,r7i.4xlarge
eu-west-2,r6id.32xlarge
eu-west-2,r5.4xlarge
eu-west-2,t3a.medium
eu-west-2,m8g.xlarge
eu-west-2,c6id.metal
eu-west-2,m7i.xlarge
eu-west-2,r7i.12xlarge
eu-west-2,c6gd.2xlarge
eu-west-2,m5.xlarge
eu-west-2,m7i.12xlarge
eu-west-2,c6g.8xlarge
eu-west-2,g5.24xlarge
eu-west-2,c7i-flex.large
eu-west-2,m5ad.12xlarge
eu-west-2,c7g.metal
eu-west-2,inf1.2xlarge
eu-west-2,r5ad.12xlarge
eu-west-2,is4gen.4xlarge
eu-west-2,r7g.large
eu-west-2,c5a.4xlarge
eu-west-2,r5b.24xlarge
eu-west-2,i4i.metal
eu-west-2,inf2.8xlarge
eu-west-2,c7g.xlarge
eu-west-2,z1d.6xlarge
eu-west-2,u-6tb1.112xlarge
eu-west-2,c6a.4xlarge
eu-west-2,c6in.2xlarge
eu-west-2,u-9tb1.112xlarge
eu-west-2,c6in.8xlarge
eu-west-2,r5b.metal
eu-west-2,m7g.metal
eu-west-2,c6in.xlarge
eu-west-2,c6a.24xlarge
eu-west-2,r6gd.xlarge
eu-west-2,m6id.4xlarge
eu-west-2,r5d.2xlarge
eu-west-2,t3.xlarge
eu-west-2,c6id.4xlarge
eu-west-2,z1d.2xlarge
eu-west-2,r6id.12xlarge
eu-west-2,c6gn.medium
eu-west-2,c4.4xlarge
eu-west-2,g5.4xlarge
eu-west-2,m6g.xlarge
eu-west-2,r6i.32xlarge
eu-west-2,m5a.4xlarge
eu-west-2,m5d.12xlarge
eu-west-2,m7g.large
eu-west-2,m6gd.12xlarge
eu-west-2,g6.16xlarge
eu-west-2,m6g.medium
eu-west-2,d3.4xlarge
eu-west-2,m7g.4xlarge
eu-west-2,m6i.metal
eu-west-2,m5.12xlarge
eu-west-1,vt1.6xlarge
eu-west-1,m7gd.metal
eu-west-1,m5d.large
eu-west-1,m5dn.8xlarge
eu-west-1,m6a.2xlarge
eu-west-1,m6idn.xlarge
eu-west-1,c5n.xlarge
eu-west-1,m2.xlarge
eu-west-1,m1.small
eu-west-1,c7i.xlarge
eu-west-1,m7i-flex.16xlarge
eu-west-1,f1.16xlarge
eu-west-1,g4dn.4xlarge
eu-west-1,m6id.16xlarge
eu-west-1,z1d.12xlarge
eu-west-1,c6gd.4xlarge
eu-west-1,u-12tb1.112xlarge
eu-west-1,r6g.medium
eu-west-1,m6i.large
eu-west-1,m6gd.xlarge
eu-west-1,c5ad.24xlarge
eu-west-1,r6idn.2xlarge
eu-west-1,d3en.12xlarge
eu-west-1,m7gd.large
eu-west-1,hpc7a.48xlarge
eu-west-1,m6a.8xlarge
eu-west-1,r6in.24xlarge
eu-west-1,p3.8xlarge
eu-west-1,c8g.metal-48xl
eu-west-1,t2.large
eu-west-1,r6i.2xlarge
eu-west-1,m6gd.2xlarge
eu-west-1,c5.metal
eu-west-1,t3a.xlarge
eu-west-1,c7gd.4xlarge
eu-west-1,c3.large
eu-west-1,m6a.metal
eu-west-1,r6a.24xlarge
eu-west-1,c6a.32xlarge
eu-west-1,c7a.32xlarge
eu-west-1,m7a.medium
eu-west-1,r5d.12xlarge
eu-west-1,r4.xlarge
eu-west-1,r5dn.12xlarge
eu-west-1,c7gn.16xlarge
eu-west-1,c5ad.4xlarge
eu-west-1,r6i.metal
eu-west-1,m6id.xlarge
eu-west-1,r6g.12xlarge
eu-west-1,r4.large
eu-west-1,m7i-flex.8xlarge
eu-west-1,r5.metal
eu-west-1,r6id.8xlarge
eu-west-1,im4gn.xlarge
eu-west-1,i4i.large
eu-west-1,t3a.small
eu-west-1,r6idn.large
eu-west-1,inf1.xlarge
eu-west-1,r6gd.8xlarge
eu-west-1,r7a.medium
eu-west-1,r6in.16xlarge
eu-west-1,is4gen.8xlarge
eu-west-1,c6gd.12xlarge
eu-west-1,m7i.xlarge
eu-west-1,m6in.12xlarge
eu-west-1,c5d.metal
eu-west-1,r5d.4xlarge
eu-west-1,m1.large
eu-west-1,c7i-flex.4xlarge
eu-west-1,r5d.24xlarge
eu-west-1,a1.large
eu-west-1,g4dn.8xlarge
eu-west-1,c8g.16xlarge
eu-west-1,h1.8xlarge
eu-west-1,r5d.16xlarge
eu-west-1,is4gen.medium
eu-west-1,c7gn.4xlarge
eu-west-1,m6a.4xlarge
eu-west-1,c6i.2xlarge
eu-west-1,t3a.large
eu-west-1,r6idn.4xlarge
eu-west-1,hpc7a.24xlarge
eu-west-1,c7gn.xlarge
eu-west-1,r5dn.24xlarge
eu-west-1,r7iz.xlarge
eu-west-1,g5.2xlarge
eu-west-1,r5b.4xlarge
eu-west-1,m5n.16xlarge
eu-west-1,r6id.large
eu-west-1,r6id.12xlarge
eu-west-1,g4dn.12xlarge
eu-west-1,m5n.xlarge
eu-west-1,r8g.8xlarge
eu-west-1,m6i.24xlarge
eu-west-1,c5ad.2xlarge
eu-west-1,m5d.12xlarge
eu-west-1,r6a.metal
eu-west-1,m6gd.metal
eu-west-1,x1e.16xlarge
eu-west-1,hpc7g.8xlarge
ap-northeast-3,r6i.24xlarge
ap-northeast-3,m6g.large
ap-northeast-3,c6gn.2xlarge
ap-northeast-3,c5d.12xlarge
ap-northeast-3,c5n.xlarge
ap-northeast-3,t3.large
ap-northeast-3,c5.12xlarge
ap-northeast-3,c6i.large
ap-northeast-3,t4g.medium
ap-northeast-3,m5.2xlarge
ap-northeast-3,d2.xlarge
ap-northeast-3,c6g.medium
ap-northeast-3,c6gn.4xlarge
ap-northeast-3,i4i.12xlarge
ap-northeast-3,r6g.medium
ap-northeast-3,i4i.xlarge
ap-northeast-3,c6g.16xlarge
ap-northeast-3,m6gd.medium
ap-northeast-3,m7g.8xlarge
ap-northeast-3,m6gd.8xlarge
ap-northeast-3,x2idn.16xlarge
ap-northeast-3,t2.2xlarge
ap-northeast-3,i3en.24xlarge
ap-northeast-3,c6g.large
ap-northeast-3,m6gd.2xlarge
ap-northeast-3,i4i.32xlarge
ap-northeast-3,c7g.large
ap-northeast-3,r4.4xlarge
ap-northeast-3,m7g.medium
ap-northeast-3,t4g.nano
ap-northeast-3,x1e.8xlarge
ap-northeast-3,g4dn.16xlarge
ap-northeast-3,i3en.2xlarge
ap-northeast-3,r4.xlarge
ap-northeast-3,x2idn.metal
ap-northeast-3,m5.4xlarge
ap-northeast-3,m5.large
ap-northeast-3,i3.metal
ap-northeast-3,r6g.large
ap-northeast-3,i3en.3xlarge
ap-northeast-3,g4dn.xlarge
ap-northeast-3,r5.metal
ap-northeast-3,c6i.32xlarge
ap-northeast-3,r4.2xlarge
ap-northeast-3,m6i.xlarge
ap-northeast-3,m5d.16xlarge
ap-northeast-3,m6i.32xlarge
ap-northeast-3,x2iedn.metal
ap-northeast-3,x1e.2xlarge
ap-northeast-3,r6gd.metal
ap-northeast-3,c6gd.2xlarge
ap-northeast-3,c6g.8xlarge
ap-northeast-3,r5d.24xlarge
ap-northeast-3,r4.8xlarge
ap-northeast-3,r6gd.16xlarge
ap-northeast-3,m4.2xlarge
ap-northeast-3,c6gd.16xlarge
ap-northeast-3,x1e.xlarge
ap-northeast-3,c6g.12xlarge
ap-northeast-3,x2iedn.4xlarge
ap-northeast-3,x2idn.24xlarge
ap-northeast-3,c6gn.16xlarge
ap-northeast-3,c5d.9xlarge
ap-northeast-3,c6gd.xlarge
ap-northeast-3,x2iedn.8xlarge
ap-northeast-3,c6g.2xlarge
ap-northeast-3,c7g.xlarge
ap-northeast-3,i4i.16xlarge
ap-northeast-3,m5d.xlarge
ap-northeast-3,c6gn.8xlarge
ap-northeast-3,t3.medium
ap-northeast-3,i3en.12xlarge
ap-northeast-3,m6g.metal
ap-northeast-3,m6i.4xlarge
ap-northeast-3,c5d.xlarge
ap-northeast-3,c5.2xlarge
ap-northeast-3,m5d.8xlarge
ap-northeast-3,c7g.8xlarge
ap-northeast-3,c6i.12xlarge
ap-northeast-3,t2.xlarge
ap-northeast-3,c6gn.xlarge
ap-northeast-3,x2iedn.2xlarge
ap-northeast-3,t4g.2xlarge
ap-northeast-3,m5.metal
ap-northeast-3,c7g.4xlarge
ap-northeast-3,c5.4xlarge
